origin_id_user,destination_id_user,created_at
4350668590575230341,8916444126972477256,2021-03-04 11:13:06.602754+00
4350668590575230341,2550752004658560003,2021-03-11 16:11:04.504036+00
4350668590575230341,4562113731057624155,2021-03-11 17:26:13.17222+00
4350668590575230341,2174601001989467596,2021-03-20 10:05:33.319903+00
4350668590575230341,1222249441013375261,2021-04-07 13:14:58.939821+00
4350668590575230341,341303801045257127,2021-05-24 15:34:37.57121+00
4350668590575230341,7819024741412470224,2021-04-17 22:05:43.214171+00
4350668590575230341,1716518458224210938,2021-05-05 12:08:22.055543+00
4350668590575230341,3435216996609750578,2021-05-06 10:38:53.24443+00
4350668590575230341,3943487605357088357,2021-05-11 14:54:51.473878+00
4350668590575230341,5852219741076239120,2021-06-12 08:10:06.064021+00
4350668590575230341,3602530386538700402,2021-05-24 16:13:08.710121+00
4350668590575230341,5221673765177511473,2021-06-01 08:35:23.897101+00
4350668590575230341,4249257190618400807,2021-06-01 11:50:05.340443+00
4350668590575230341,6796252419075590777,2021-06-01 11:49:51.290822+00
4350668590575230341,4228752397090283452,2021-06-04 17:03:44.805213+00
4350668590575230341,2974644751621838956,2021-06-09 20:41:30.930558+00
4350668590575230341,5206405740864944499,2021-06-24 14:25:10.879392+00
4350668590575230341,2606881556158305705,2021-07-16 10:57:47.424866+00
4350668590575230341,6469962823921690769,2021-08-19 18:37:06.763427+00
4350668590575230341,5265503349552437932,2021-08-21 15:19:25.096063+00
4350668590575230341,625702067428339331,2021-08-21 15:19:12.394797+00
4350668590575230341,4868923090749347252,2021-08-23 07:43:49.663888+00
4350668590575230341,9123224551519460163,2021-08-28 17:48:57.586074+00
4350668590575230341,5809809606723048830,2021-08-29 13:25:25.334362+00
4350668590575230341,439093202783322423,2021-08-30 09:10:56.153821+00
4350668590575230341,3680160058156631077,2021-08-30 09:27:08.08363+00
4350668590575230341,9168584736684034868,2021-08-30 13:19:04.699739+00
4350668590575230341,8191856888379785040,2021-08-30 16:18:53.159242+00
4350668590575230341,1653454943732480216,2021-08-30 16:53:56.528167+00
4350668590575230341,90866713732278820,2021-09-02 15:18:16.605375+00
4350668590575230341,8102929705690470495,2021-09-02 17:33:00.395179+00
4350668590575230341,7447880756223675654,2021-09-03 12:26:20.932361+00
4350668590575230341,5673249450533561839,2021-09-06 20:52:49.984125+00
4350668590575230341,4220115132437097277,2021-09-13 20:35:35.784779+00
4350668590575230341,1232766951434978765,2021-09-12 17:12:07.525823+00
